drug,removal_frac,weg_lo,weg_med,weg_hi,seg_lo,seg_med,seg_hi,wel_lo,wel_med,wel_hi,sel_lo,sel_med,sel_hi
PSI,0.0,37.23829165502519,426.89315790770377,611.3868699979886,37.23829165502519,426.89315790770377,611.3868699979886,37.18240088692629,426.5034775834048,611.0186802880067,37.18240088692629,426.5034775834048,611.0186802880067
PSI,0.08571428571428572,37.23829165502519,426.89315790770377,611.3868699979886,6.60156919916357,30.94598966556023,58.31466123258431,38.85930109604574,457.7800189601031,663.2132801641726,6.4230787906092495,29.58865672421858,54.31886053428488
PSI,0.17142857142857143,37.23829165502519,426.89315790770377,611.3868699979886,3.926631289499334,11.320729313958735,21.493036072910765,41.791940005776425,505.7509514508521,724.1733880978235,3.785176072639413,10.73382265192779,19.339771759617484
PSI,0.2571428571428571,37.23829165502519,426.89315790770377,611.3868699979886,2.6425925420226926,5.788537617006371,11.0435473585526,45.52932006866767,559.2970030823712,792.0203566843351,2.54718915108061,5.562070168890336,9.784482155542092
PSI,0.34285714285714286,37.23829165502519,426.89315790770377,611.3868699979886,1.886325427263892,3.3993803962967437,6.3895791808958045,50.03423547260882,620.4018126249683,878.5762038256029,1.8124888552842184,3.311510023186093,5.741951593583182
PSI,0.4285714285714286,37.23829165502519,426.89315790770377,611.3868699979886,1.3658305309449652,2.1344938447831794,3.9224935896309416,54.47967556685262,690.3737736198232,995.495961459966,1.3058973229825328,2.0908827654220388,3.6228655079209107
PSI,0.5142857142857142,37.23829165502519,426.89315790770377,611.3868699979886,1.0099271897577988,1.3895204666747605,2.392264326102099,60.20926280360657,779.4280557029039,1146.249436483616,0.9460839612840187,1.3249485963749639,2.3293411564128297
PSI,0.6,37.23829165502519,426.89315790770377,611.3868699979886,0.7483861219972207,0.9513532463016481,1.4404528493955284,67.61471566692681,906.7720691097795,1328.2250325973077,0.3420731607512637,0.6624553399076177,1.4234484078923701
KET,0.0,55.69279073067625,520.0188450086632,921.2585788023662,55.69279073067625,520.0188450086632,921.2585788023662,55.61212113283119,519.5837531180889,920.8538699474124,55.61212113283119,519.5837531180889,920.8538699474124
KET,0.08571428571428572,55.69279073067625,520.0188450086632,921.2585788023662,9.839168795002406,44.89125572278591,143.20238267066213,59.77106433384949,557.4078191519955,1015.1414543553332,9.459405246552123,42.208775372606645,131.46637117957414
KET,0.17142857142857143,55.69279073067625,520.0188450086632,921.2585788023662,5.679652686441945,16.167103143342324,51.327975968289046,65.46608790497798,608.9478600116518,1098.146283109374,5.333732462689537,14.921182440608089,44.73659947923255
KET,0.2571428571428571,55.69279073067625,520.0188450086632,921.2585788023662,3.749119535154516,8.123028838236912,26.371579284653006,71.9339647253118,667.4572935374313,1199.1650993590185,3.469570343003062,7.582291201256857,22.139031341366557
KET,0.34285714285714286,55.69279073067625,520.0188450086632,921.2585788023662,2.6516514869846195,4.59352739885677,15.170427653096377,78.92807994152517,734.0378107008784,1323.9605348568268,2.4500853289906686,4.420771255916227,12.331505902009706
KET,0.4285714285714286,55.69279073067625,520.0188450086632,921.2585788023662,1.9153269313515173,2.8431811886475344,9.18147305787994,86.05300556630017,818.1797439993524,1477.187552789993,1.7716003912917362,2.694875439772391,7.398714498886438
KET,0.5142857142857142,55.69279073067625,520.0188450086632,921.2585788023662,1.3415978272651978,1.8466876254789406,5.691210430453822,94.79427993402969,931.7381337142729,1657.623971935926,1.2750323107248853,1.7688487906533972,4.758072785162596
KET,0.6,55.69279073067625,520.0188450086632,921.2501613837038,0.8782132663457246,1.2168323415733275,3.4275136244777373,106.77291399133212,1087.2739192131075,1901.9820289564582,0.4815767252942941,1.1105182061543477,3.020411904127832
SAL,0.0,48.13039155993682,475.5772204224428,715.2553692579802,48.13039155993682,475.5772204224428,715.2553692579802,48.06270145956941,475.12297325633307,714.9204050309803,48.06270145956941,475.12297325633307,714.9204050309803
SAL,0.08571428571428572,48.13039155993682,475.5772204224428,715.2553692579802,8.176815412624126,37.22184255949115,82.39588067895636,50.74986676410888,513.5215952581073,771.7996703562959,7.84621103992264,35.29712456666104,76.16116050214964
SAL,0.17142857142857143,48.13039155993682,475.5772204224428,715.2553692579802,4.786615216797507,13.867297916753614,29.79023964747683,54.61059892779964,563.1385208379269,837.6214622926724,4.527361648046881,12.939138525838493,26.475254245579315
SAL,0.2571428571428571,48.13039155993682,475.5772204224428,715.2553692579802,3.2028563636114686,7.156806337090201,15.183814094344873,59.53795592989489,619.9683591236892,912.0830282698125,3.020482669549331,6.722321845838693,13.232310494888903
SAL,0.34285714285714286,48.13039155993682,475.5772204224428,715.2553692579802,2.229977767545433,4.118156726733881,8.633895015234819,65.32721275364473,680.9202430418154,1021.6211624499663,2.1212820666920034,3.908391922646467,7.553076179909483
SAL,0.4285714285714286,48.13039155993682,475.5772204224428,715.2553692579802,1.5797988993110086,2.5323883621921635,5.191331502027963,72.08518185203235,755.1348769466415,1145.711488478966,1.4966358009178826,2.432616416553947,4.677961061591629
SAL,0.5142857142857142,48.13039155993682,475.5772204224428,715.2553692579802,1.1021066088926423,1.6089826731852477,3.1654304321818163,80.99345193307333,854.6483006082346,1298.8395463416061,0.8365066091226955,1.55713999455094,3.0293624959263856
SAL,0.6,48.13039155993682,475.5772204224428,715.2553692579802,0.6939768486659562,1.099972786452365,1.9224549154072663,92.74428952693852,1001.173650561014,1488.467680335537,0.1539739202695565,0.9075089497161397,1.8558089168266196
