comparison,mantel_r,p_value,q_value,null_mean,null_std
PSI_vs_SAL,0.09265730672161142,0.011197760447910418,0.011197760447910418,-0.000523088135078803,0.03702621266054972
KET_vs_SAL,0.1366473715433023,0.0007998400319936012,0.0011997600479904018,-0.0004528091026836651,0.039901328805687565
PSI_vs_KET,0.15638151010598184,0.0003999200159968006,0.0011997600479904018,0.0003365323040352191,0.03865620643976364
