comparison,observed_delta,p_value,q_value
PSI_vs_SAL,0.546456556970429,0.647870425914817,0.9622075584883024
KET_vs_SAL,0.47465262890978277,0.9622075584883023,0.9622075584883024
PSI_vs_KET,0.5216683797233557,0.7814437112577485,0.9622075584883024
