drug,region,region_id,delta_eg,is_articulation_point,residual_gc
PSI,Parasubthalamic nucleus,364,-0.15184643954579968,False,
PSI,Submedial nucleus of the thalamus,366,-0.20404153693667126,False,
PSI,Primary somatosensory area upper limb,369,0.14284219658713226,False,
PSI,Infracerebellar nucleus,372,-0.19326926033073022,False,
PSI,Substantia nigra compact part,374,-0.14027301344625442,False,
PSI,Supplemental somatosensory area,378,0.03689940430918881,False,
PSI,Field CA1,382,-0.23300986745092445,False,
PSI,Primary visual area,385,-0.10590091751371489,False,
PSI,Supraoptic nucleus,390,-0.032603649455928974,False,
PSI,Anteromedial visual area,394,0.011145953185312862,True,0.5296610169491526
PSI,Medullary reticular nucleus,395,0.29818289687662514,False,
PSI,Superior olivary complex,398,0.6280038164836554,False,
PSI,Anterolateral visual area,402,-0.24506509438952406,False,
PSI,Medial amygdalar nucleus,403,-0.2155247837069325,False,
PSI,Lateral visual area,409,0.8385831138404782,False,
PSI,Field CA2,423,-0.05515897288101712,False,
PSI,Posterolateral visual area,425,-0.13670519055703778,False,
PSI,Spinal nucleus of the trigeminal oral part,445,0.8867161028689452,False,
PSI,Field CA3,463,-0.20891349485415844,False,
PSI,Medial geniculate complex,475,-0.0752963665305515,False,
PSI,Medial mammillary nucleus,491,-0.19234075001678264,False,
PSI,Subiculum,502,0.01495629459829928,False,
PSI,Main olfactory bulb,507,-0.0003959233684440733,False,
PSI,Medial preoptic nucleus,515,-0.24415592735534375,False,
PSI,Medial preoptic area,523,-0.2209108208681414,False,
PSI,Medial pretectal area,531,-0.20128950917479926,False,
PSI,posteromedial visual area,533,0.2397764813184864,False,
PSI,Central amygdalar nucleus,536,-0.12280306357307325,False,
PSI,Temporal association areas,541,0.1438772253962668,True,0.5084745762711864
PSI,Medial septal nucleus,564,-0.08990638939852147,False,
PSI,Postpiriform transition area,566,-0.18636405265504408,False,
PSI,Tegmental reticular nucleus,574,0.11113288401057275,True,0.5042372881355932
PSI,Central lateral nucleus of the thalamus,575,0.0505010345017709,False,
PSI,Accessory facial motor nucleus,576,-0.046300805398573175,True,0.5084745762711864
PSI,Taenia tecta,589,-0.05248035336081358,False,
PSI,Central linear nucleus raphe,591,-0.25813461023894746,False,
