comparison,direction,edges_removed,frac,PSI_Eg,SAL_Eg,null_mean_Eg,null_lo_Eg,null_hi_Eg,obs1_p_vs_null,obs2_p_vs_null,KET_Eg
PSI_vs_SAL,weak,0,0.0,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,1199,0.04285714285714286,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,2397,0.08571428571428572,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,3596,0.12857142857142856,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,4794,0.17142857142857143,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,5993,0.2142857142857143,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,7191,0.2571428571428571,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,8390,0.3,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,9588,0.34285714285714286,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,10787,0.38571428571428573,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,11985,0.4285714285714286,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,13184,0.4714285714285714,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,14383,0.5142857142857142,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,15581,0.5571428571428572,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,weak,16780,0.6,37.238291655026075,48.130391559937195,130.6482120803106,106.74819102405262,156.52736877701906,1.0,1.0,
PSI_vs_SAL,strong,0,0.0,37.238291655026075,48.130391559937195,130.58674112744976,105.88134684542946,157.16471249007623,1.0,1.0,
