comparison,metric,region,region_id,diff,p_value,q_value,significant_fdr05
PSI_vs_SAL,wdeg,Area postrema,207,-0.9476903267508305,1.0,1.0,False
PSI_vs_SAL,wdeg,Lateral vestibular nucleus,209,-6.970155483560859,0.8256174382561744,1.0,False
PSI_vs_SAL,wdeg,Lateral mammillary nucleus,210,-0.7285890432966937,0.9798020197980202,1.0,False
PSI_vs_SAL,wdeg,Red nucleus,214,27.959431404900855,0.20577942205779423,0.7015037132650371,False
PSI_vs_SAL,wdeg,Anterior pretectal nucleus,215,70.39908569659306,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Superior vestibular nucleus,217,-31.66448317799376,0.2602739726027397,0.7015037132650371,False
PSI_vs_SAL,wdeg,Lateral posterior nucleus of the thalamus,218,-17.768367796421416,0.5332466753324667,0.9056115221811153,False
PSI_vs_SAL,wdeg,Lateral preoptic area,226,74.3102259236654,0.0173982601739826,0.34417986772751297,False
PSI_vs_SAL,wdeg,Nucleus raphe pallidus,230,73.13441004508249,0.08859114088591141,0.5918002794315163,False
PSI_vs_SAL,wdeg,Anterior tegmental nucleus,231,72.7477239292431,0.20537946205379462,0.7015037132650371,False
PSI_vs_SAL,wdeg,Lateral reticular nucleus,235,3.3066162475022907,0.9437056294370563,1.0,False
PSI_vs_SAL,wdeg,Nucleus raphe pontis,238,23.931500823113737,0.595040495950405,0.9212267452500033,False
PSI_vs_SAL,wdeg,Midbrain reticular nucleus retrorubral area,246,7.814864310993585,0.8297170282971703,1.0,False
PSI_vs_SAL,wdeg,Lateral septal nucleus caudal (caudodorsal) part,250,-54.412567850427735,0.14178582141785823,0.6355273563552735,False
PSI_vs_SAL,wdeg,Lateral septal nucleus rostral (rostroventral) part,258,50.003340112533294,0.2238776122387761,0.7015037132650371,False
PSI_vs_SAL,wdeg,Reticular nucleus of the thalamus,262,61.341070724110054,0.08789121087891211,0.5918002794315163,False
PSI_vs_SAL,wdeg,Anteroventral preoptic nucleus,263,5.973871200596079,0.8614138586141386,1.0,False
PSI_vs_SAL,wdeg,Anteroventral periventricular nucleus,272,69.5684280460041,0.028697130286971302,0.34417986772751297,False
PSI_vs_SAL,wdeg,Barrington's nucleus,280,70.44906696195142,0.13878612138786123,0.6355273563552735,False
PSI_vs_SAL,wdeg,Suprachiasmatic nucleus,286,66.590670230411,0.058394160583941604,0.5468683900840685,False
PSI_vs_SAL,wdeg,Bed nucleus of the anterior commissure,287,-52.89056581653628,0.11438856114388561,0.6355273563552735,False
PSI_vs_SAL,wdeg,Bed nucleus of the accessory olfactory tract,292,60.78547871220523,0.007399260073992601,0.34417986772751297,False
PSI_vs_SAL,wdeg,Superior colliculus motor related,294,-7.851153393448669,0.7178282171782822,0.9685936168287933,False
PSI_vs_SAL,wdeg,Basolateral amygdalar nucleus,295,2.78574553619427,0.8444155584441556,1.0,False
PSI_vs_SAL,wdeg,Magnocellular nucleus,298,30.18666751469135,0.5684431556844316,0.9212267452500033,False
PSI_vs_SAL,wdeg,Superior colliculus sensory related,302,-10.86861703063218,0.7689231076892311,0.9685936168287933,False
PSI_vs_SAL,wdeg,Basomedial amygdalar nucleus,319,24.154220426979236,0.48325167483251674,0.8947706791820818,False
PSI_vs_SAL,wdeg,Suprageniculate nucleus,325,11.411844880364868,0.7594240575942406,0.9685936168287933,False
PSI_vs_SAL,wdeg,Primary somatosensory area barrel field,329,23.910557408483953,0.5072492750724927,0.8948017606998424,False
PSI_vs_SAL,wdeg,Accessory supraoptic group,332,-55.94480252126388,0.1126887311268873,0.6355273563552735,False
PSI_vs_SAL,wdeg,Septohippocampal nucleus,333,-27.05359951962737,0.5112488751124887,0.8948017606998424,False
PSI_vs_SAL,wdeg,Primary somatosensory area lower limb,337,-3.450173405214798,0.9143085691430857,1.0,False
PSI_vs_SAL,wdeg,Subfornical organ,338,-33.39790825322632,0.22617738226177383,0.7015037132650371,False
PSI_vs_SAL,wdeg,Primary somatosensory area mouth,345,0.12607747780521095,0.9692030796920308,1.0,False
PSI_vs_SAL,wdeg,Subparaventricular zone,347,45.48499479505756,0.2803719628037196,0.7210497700229976,False
PSI_vs_SAL,wdeg,Subceruleus nucleus,350,-3.3792936755830283,0.9336066393360664,1.0,False
PSI_vs_SAL,wdeg,Bed nuclei of the stria terminalis,351,-5.200399214314871,0.8845115488451155,1.0,False
PSI_vs_SAL,wdeg,Primary somatosensory area nose,353,-15.86461822669844,0.6165383461653835,0.9212267452500033,False
PSI_vs_SAL,wdeg,Preparasubthalamic nucleus,356,-4.678620858798524,0.7672232776722328,0.9685936168287933,False
PSI_vs_SAL,wdeg,Sublaterodorsal nucleus,358,19.076088040719952,0.5144485551444855,0.8948017606998424,False
PSI_vs_SAL,wdeg,Primary somatosensory area trunk,361,37.288036040016124,0.2920707929207079,0.7210497700229976,False
PSI_vs_SAL,wdeg,Mediodorsal nucleus of thalamus,362,-64.88312429397496,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Parasubthalamic nucleus,364,-55.86064613122451,0.059994000599940006,0.5468683900840685,False
PSI_vs_SAL,wdeg,Submedial nucleus of the thalamus,366,-70.85025731733217,0.0866913308669133,0.5918002794315163,False
PSI_vs_SAL,wdeg,Primary somatosensory area upper limb,369,33.2159189018265,0.2211778822117788,0.7015037132650371,False
PSI_vs_SAL,wdeg,Infracerebellar nucleus,372,-44.795210318761576,0.204979502049795,0.7015037132650371,False
PSI_vs_SAL,wdeg,Substantia nigra compact part,374,-45.78712073319586,0.2762723727627237,0.7210497700229976,False
PSI_vs_SAL,wdeg,Supplemental somatosensory area,378,-14.641077147387591,0.5987401259874012,0.9212267452500033,False
PSI_vs_SAL,wdeg,Field CA1,382,-3.699099208229896,0.8683131686831317,1.0,False
PSI_vs_SAL,wdeg,Primary visual area,385,-24.140122472298856,0.47435256474352566,0.8852091168835873,False
PSI_vs_SAL,wdeg,Supraoptic nucleus,390,33.493783916968226,0.14208579142085792,0.6355273563552735,False
PSI_vs_SAL,wdeg,Anteromedial visual area,394,14.352694866935593,0.8867113288671132,1.0,False
PSI_vs_SAL,wdeg,Medullary reticular nucleus,395,-12.221728260690384,0.7388261173882612,0.9685936168287933,False
PSI_vs_SAL,wdeg,Superior olivary complex,398,1.8030865100630535,0.9901009899010099,1.0,False
PSI_vs_SAL,wdeg,Anterolateral visual area,402,-18.953399867085636,0.5473452654734526,0.9056115221811153,False
PSI_vs_SAL,wdeg,Medial amygdalar nucleus,403,-50.69517207866285,0.14438556144385561,0.6355273563552735,False
PSI_vs_SAL,wdeg,Lateral visual area,409,4.684928776066442,0.813018698130187,0.9994751820154771,False
PSI_vs_SAL,wdeg,Field CA2,423,-33.38644213024088,0.16528347165283472,0.6753824617538247,False
PSI_vs_SAL,wdeg,Posterolateral visual area,425,-58.732419451027624,0.08549145085491451,0.5918002794315163,False
PSI_vs_SAL,wdeg,Spinal nucleus of the trigeminal oral part,445,8.604140351623954,0.813918608139186,0.9994751820154771,False
PSI_vs_SAL,wdeg,Field CA3,463,5.606336442958863,0.8632136786321368,1.0,False
PSI_vs_SAL,wdeg,Medial geniculate complex,475,-36.87798431465632,0.43525647435256476,0.8596315368463154,False
PSI_vs_SAL,wdeg,Medial mammillary nucleus,491,34.29821624380651,0.12118788121187882,0.6355273563552735,False
PSI_vs_SAL,wdeg,Subiculum,502,16.755082507453324,0.6047395260473952,0.9212267452500033,False
PSI_vs_SAL,wdeg,Main olfactory bulb,507,0.050222748709984444,1.0,1.0,False
PSI_vs_SAL,wdeg,Medial preoptic nucleus,515,-83.08381612557366,0.0066993300669933005,0.34417986772751297,False
PSI_vs_SAL,wdeg,Medial preoptic area,523,-76.42263008563388,0.04229577042295771,0.45564079955640807,False
PSI_vs_SAL,wdeg,Medial pretectal area,531,-66.27743288445623,0.11558844115588442,0.6355273563552735,False
PSI_vs_SAL,wdeg,posteromedial visual area,533,4.766450926627215,0.819018098190181,1.0,False
PSI_vs_SAL,wdeg,Central amygdalar nucleus,536,-36.464916904168945,0.11708829117088292,0.6355273563552735,False
PSI_vs_SAL,wdeg,Temporal association areas,541,42.90301491806571,0.3301669833016698,0.7671526964950564,False
PSI_vs_SAL,wdeg,Medial septal nucleus,564,-22.122463180023118,0.46795320467953205,0.8801976945162626,False
PSI_vs_SAL,wdeg,Postpiriform transition area,566,-59.691762070184424,0.20027997200279973,0.7015037132650371,False
PSI_vs_SAL,wdeg,Tegmental reticular nucleus,574,16.5844346375831,0.5926407359264073,0.9212267452500033,False
PSI_vs_SAL,wdeg,Central lateral nucleus of the thalamus,575,-3.707280498218722,0.9185081491850815,1.0,False
PSI_vs_SAL,wdeg,Accessory facial motor nucleus,576,27.64218099120646,0.3765623437656234,0.7897811988712632,False
PSI_vs_SAL,wdeg,Taenia tecta,589,-8.283579465290899,0.7715228477152285,0.9685936168287933,False
PSI_vs_SAL,wdeg,Central linear nucleus raphe,591,23.391455408906637,0.34806519348065196,0.7782212344803257,False
PSI_vs_SAL,wdeg,Diagonal band nucleus,596,59.42684183655865,0.25877412258774124,0.7015037132650371,False
