drug,region,region_id,weighted_degree,weighted_degree_z,closeness,closeness_z,betweenness,betweenness_z,cluster
PSI,Tuberomammillary nucleus ventral part,1,167.81666137952362,1.174012902313529,22.005915203598292,1.3467189722635775,0.21994230075730256,2.835497021020651,0
PSI,Inferior colliculus,4,168.2142708646142,1.1895948381122492,21.927674997033844,1.3293594860713043,0.1865488640461594,2.268280793979482,0
PSI,Principal sensory nucleus of the trigeminal,7,133.0759172027935,-0.18744366665700182,15.74761090450144,-0.04183752365679161,0.008005769924269743,-0.764427132673681,0
PSI,Interfascicular nucleus raphe,12,168.00441138413066,1.181370645596061,21.988476813729473,1.3428498428039835,0.08946988820771727,0.619310941717249,0
PSI,Induseum griseum,19,168.80465969060822,1.2127316120773486,21.549638873622367,1.2454830093503955,0.18752253876667868,2.2848194960638355,0
PSI,Anterior amygdalar area,23,161.11780306760426,0.9114910459315834,21.63820015769082,1.2651324767465475,0.2872701045798774,3.9791176429276307,0
PSI,Intergeniculate leaflet of the lateral geniculate complex,27,167.31077605156412,1.1541877396920097,21.541242784998094,1.2436201335868695,0.10569780021637216,0.8949559764564783,1
PSI,Periventricular hypothalamic nucleus anterior part,30,166.92489566587366,1.1390654560914457,21.540046236690944,1.243354650343299,0.04511359538406058,-0.13411881990331057,0
PSI,Paraventricular hypothalamic nucleus,38,168.37221605418682,1.1957845591725413,21.525172175138902,1.2400544792743102,0.014388748647674,-0.6560067523429176,0
PSI,Anterior cingulate area dorsal part,39,149.5892769933814,0.45969912476681124,18.02870564866329,0.46427863392168334,0.023404255319148935,-0.5028706219322348,1
PSI,Infralimbic area,44,167.43213653881213,1.1589437412254466,21.055160352323146,1.1357709643572782,0.07872340425531915,0.43677267426771516,0
PSI,Anterior cingulate area ventral part,48,163.48122736587862,1.0041113858926791,18.68454899648656,0.6097933767982133,0.13119365308330327,1.3280249532578892,1
PSI,Nucleus accumbens,56,165.697819387123,1.090977509217469,18.7541889343407,0.6252446849260098,0.010890732059141725,-0.7154235709422625,1
PSI,Paraventricular hypothalamic nucleus descending division,63,112.02521932449748,-1.01240040224175,12.792845396167237,-0.6974238685251614,0.015542733501622791,-0.6364053276503502,1
PSI,Lateral terminal nucleus of the accessory optic tract,66,117.06277419799534,-0.8149834402105501,14.307280404439686,-0.36140975545472526,0.03238369996393797,-0.35034703604319467,1
