drug,removal_frac,weak_Eg,weak_El,strong_Eg,strong_El
PSI,0.0,37.238291655026075,37.18240088692716,37.238291655026075,37.18240088692716
PSI,0.02,37.238291655026075,37.42250243304071,15.080085510642935,14.87184286316835
PSI,0.04,37.238291655026075,37.77234808709532,10.600608137886065,10.391343640220132
PSI,0.06,37.238291655026075,38.200062513901955,8.300009500807008,8.11256597173424
PSI,0.08,37.238291655026075,38.70020076845293,6.9164951678226725,6.732616172204546
PSI,0.1,37.238291655026075,39.27097029651653,5.932634975202807,5.761363017456096
PSI,0.12,37.238291655026075,39.90367929631783,5.198712233681433,5.034935000706009
PSI,0.14,37.238291655026075,40.62754413626012,4.625233926829135,4.465746402903644
PSI,0.16,37.238291655026075,41.33922798259369,4.154547539793593,4.006544987825966
PSI,0.18,37.238291655026075,42.13521190706551,3.7695793534337416,3.6342624044889535
PSI,0.2,37.238291655026075,43.03005007177597,3.426803284841576,3.301158610704496
PSI,0.22,37.238291655026075,43.90047421076873,3.124299658066362,3.00848325577597
PSI,0.24,37.238291655026075,44.71608710410211,2.850045603651923,2.7462534453577856
PSI,0.26,37.238291655026075,45.67995400492941,2.611653232636836,2.5168732297611873
PSI,0.28,37.238291655026075,46.67435111307127,2.4060852243954507,2.3145291725570627
PSI,0.3,37.238291655026075,47.68060170100135,2.224710548692504,2.1387904696622106
PSI,0.32,37.238291655026075,48.76177400283755,2.058735419082834,1.9757273270259235
PSI,0.34,37.238291655026075,49.842645805050786,1.9071094249317662,1.8322675162032014
PSI,0.36,37.238291655026075,50.88598899511609,1.7621420974802988,1.6915224057434441
PSI,0.38,37.238291655026075,51.76434185748937,1.632779982846419,1.5628241085738392
PSI,0.4,37.238291655026075,52.89371898813265,1.5161832753577433,1.451281437746523
PSI,0.42,37.238291655026075,53.910075687163086,1.408467292668032,1.345226315597213
PSI,0.44,37.238291655026075,55.183272128095915,1.3116991976068737,1.2553081675735789
PSI,0.46,37.238291655026075,56.38728738364715,1.2214099835997243,1.16797677248235
PSI,0.48,37.238291655026075,57.67045041247928,1.139222660013521,1.084363436313417
PSI,0.5,37.238291655026075,59.136255094853574,1.0630157754635843,1.0029433578610427
PSI,0.52,37.238291655026075,60.64341884648168,0.9899050435514584,0.9220862529941748
PSI,0.54,37.238291655026075,62.2238190647783,0.9219020989502513,0.8526381383403338
PSI,0.56,37.238291655026075,63.78652149219271,0.8597650514557796,0.7862714431472974
PSI,0.58,37.238291655026075,65.37853231880477,0.8010443087938305,0.7225720309079239
PSI,0.6,37.238291655026075,67.61471566692889,0.7483861219972207,0.6624553399076177
KET,0.0,55.692790730677125,55.612121132832065,55.692790730677125,55.612121132832065
KET,0.02,55.692790730677125,56.38232769053579,22.610281633370146,22.24807956619046
KET,0.04,55.692790730677125,57.30691360998028,15.820352623075218,15.448248614613828
KET,0.06,55.692790730677125,58.33040244408848,12.378215553165587,11.990725427796622
KET,0.08,55.692790730677125,59.42601835263434,10.296219584272428,9.911670637509738
KET,0.1,55.692790730677125,60.63311316754158,8.813165645578117,8.44303341973337
KET,0.12,55.692790730677125,61.92854212857845,7.656638464834205,7.291219948464937
KET,0.14,55.692790730677125,63.34883712533339,6.7717583682441695,6.4127176314710335
KET,0.16,55.692790730677125,64.65857070458088,6.0452540238525065,5.699010097599898
KET,0.18,55.692790730677125,66.08821866854188,5.412772002651202,5.072612251725515
KET,0.2,55.692790730677125,67.5157263627148,4.888707551732332,4.562012856242465
KET,0.22,55.692790730677125,69.09191214429012,4.445700630537659,4.135547885173738
KET,0.24,55.692790730677125,70.57921930472142,4.044236725597472,3.7462182902369063
KET,0.26,55.692790730677125,72.13735282661702,3.7039309467224237,3.4289524135248044
KET,0.28,55.692790730677125,73.73182861481565,3.408206845896641,3.1506392116202098
KET,0.3,55.692790730677125,75.2102417225748,3.143807878167455,2.896101175252188
KET,0.32,55.692790730677125,76.88376938171704,2.901730771583368,2.6768090764707235
KET,0.34,55.692790730677125,78.7650714377199,2.681682451746869,2.47644768124127
KET,0.36,55.692790730677125,80.26372273760519,2.4801414369117354,2.287742672555068
KET,0.38,55.692790730677125,81.88343825418222,2.301144023045249,2.1249534361556095
KET,0.4,55.692790730677125,83.63929340208216,2.1323946563837644,1.964203635748148
KET,0.42,55.692790730677125,85.34317576673489,1.9801104428227863,1.8301996834818217
KET,0.44,55.692790730677125,87.13425629868476,1.8347401187138221,1.697409783135456
KET,0.46,55.692790730677125,89.41207074226293,1.7029059061691036,1.5796789071037916
KET,0.48,55.692790730677125,91.49715661989838,1.5785455254796574,1.46210057296881
KET,0.5,55.692790730677125,93.573019561282,1.4695424884829889,1.3742647120810885
KET,0.52,55.692790730677125,95.31826463123545,1.3636413049946294,1.2842737673701152
KET,0.54,55.692790730677125,98.16345978848972,1.2695181230297274,1.1973387391240096
KET,0.56,55.692790730677125,100.90104101789396,1.179947210884097,1.1113287984255085
KET,0.58,55.692790730677125,103.80198331224194,1.0925003704502356,1.0293418699303536
KET,0.6,55.692790730677125,106.77291399133505,1.010681223397632,0.9470237536074907
SAL,0.0,48.130391559937195,48.06270145956977,48.130391559937195,48.06270145956977
SAL,0.02,48.130391559937195,48.53169153732706,18.629267104358693,18.317305151702573
SAL,0.04,48.130391559937195,49.09915137567507,13.113893197203627,12.77800619090892
SAL,0.06,48.130391559937195,49.76965285920148,10.356358823215434,10.01297516252247
SAL,0.08,48.130391559937195,50.534494065159876,8.554525644771969,8.228882383806493
SAL,0.1,48.130391559937195,51.33638890013276,7.320941888502986,6.996886406607777
SAL,0.12,48.130391559937195,52.173172384633574,6.402611157808052,6.093487450400353
SAL,0.14,48.130391559937195,53.13683988495134,5.664631037190815,5.375969617222965
SAL,0.16,48.130391559937195,54.074734377676464,5.076346925529358,4.807042599219205
SAL,0.18,48.130391559937195,55.044707099059195,4.5903013247481015,4.335062302534826
SAL,0.2,48.130391559937195,56.159457104979424,4.1611820566859015,3.924959456034958
SAL,0.22,48.130391559937195,57.2704924445374,3.7866931438301283,3.5674246126867084
SAL,0.24,48.130391559937195,58.51931528516948,3.450264581275575,3.250405931164031
SAL,0.26,48.130391559937195,59.6902594117764,3.162860637707193,2.985261359810401
SAL,0.28,48.130391559937195,61.095748689429676,2.894429470539406,2.7382504256783546
SAL,0.3,48.130391559937195,62.45130792412002,2.6597262651552893,2.5236345040704244
SAL,0.32,48.130391559937195,63.78855096777843,2.450149647164017,2.329963267916395
SAL,0.34,48.130391559937195,65.12036745085749,2.2556913057369026,2.14680545257086
SAL,0.36,48.130391559937195,66.61228870862787,2.0847440223953706,1.9800820593681048
SAL,0.38,48.130391559937195,67.984682812603,1.9234679672559745,1.8290867182432056
SAL,0.4,48.130391559937195,69.65825937182396,1.7727152063725384,1.6807494225679693
SAL,0.42,48.130391559937195,71.34616746610301,1.6346076776763414,1.5495287130364401
SAL,0.44,48.130391559937195,73.24904052787555,1.5103838179895552,1.4334051240638443
SAL,0.46,48.130391559937195,75.27443162494401,1.3973600046044634,1.322375009768096
SAL,0.48,48.130391559937195,77.15890289432436,1.298036001939135,1.2398779552931405
SAL,0.5,48.130391559937195,79.32104177940185,1.208572940147821,1.1520250674779924
SAL,0.52,48.130391559937195,81.59267333021334,1.1232017860310122,1.0747793322977728
SAL,0.54,48.130391559937195,84.16384388584189,1.0393150482789295,0.986975886931038
SAL,0.56,48.130391559937195,86.99586064189057,0.9616222951103559,0.9106783723139424
SAL,0.58,48.130391559937195,89.43924703438367,0.8899148811935209,0.831464386256606
SAL,0.6,48.130391559937195,92.74428952693953,0.8234634797600815,0.760172009093759
